date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:09	16438/16438	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:12%20GMT	https://static.wixstatic.com/media/nsplsh_9c7cac5bcc4146fdb0b7685ebfa84b8d~mv2.jpg/v1/fill/w_230,h_153,q_90/nsplsh_9c7cac5bcc4146fdb0b7685ebfa84b8d~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/nsplsh_9c7cac5bcc4146fdb0b7685ebfa84b8d_mv2.jpg/v1/fill/w_230,h_153,q_90/nsplsh_9c7cac5bcc4146fdb0b7685ebfa84b8d_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:10	8629/8629	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:12%20GMT	https://static.wixstatic.com/media/f409e7_9c6f1ecba7974917a46344981f6b4fe0~mv2.jpg/v1/fill/w_156,h_156,q_90/f409e7_9c6f1ecba7974917a46344981f6b4fe0~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_9c6f1ecba7974917a46344981f6b4fe0_mv2.jpg/v1/fill/w_156,h_156,q_90/f409e7_9c6f1ecba7974917a46344981f6b4fe0_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:10	12178/12178	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:13%20GMT	https://static.wixstatic.com/media/f409e7_65db10388a5e4a6e9862db4194420776~mv2.jpg/v1/fill/w_304,h_156,q_90/f409e7_65db10388a5e4a6e9862db4194420776~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_65db10388a5e4a6e9862db4194420776_mv2.jpg/v1/fill/w_304,h_156,q_90/f409e7_65db10388a5e4a6e9862db4194420776_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:11	41691/41691	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:13%20GMT	https://static.wixstatic.com/media/f409e7_ed29240829a24ebcb13ad91fbe9517e7~mv2.jpg/v1/fill/w_480,h_314,q_90/f409e7_ed29240829a24ebcb13ad91fbe9517e7~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_ed29240829a24ebcb13ad91fbe9517e7_mv2.jpg/v1/fill/w_480,h_314,q_90/f409e7_ed29240829a24ebcb13ad91fbe9517e7_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:11	36078/36078	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:14%20GMT	https://static.wixstatic.com/media/f409e7_fc1bec89cae44d36af5cd8fdf293f914~mv2.jpg/v1/fill/w_480,h_294,q_90/f409e7_fc1bec89cae44d36af5cd8fdf293f914~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_fc1bec89cae44d36af5cd8fdf293f914_mv2.jpg/v1/fill/w_480,h_294,q_90/f409e7_fc1bec89cae44d36af5cd8fdf293f914_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:12	13248/13248	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:14%20GMT	https://static.wixstatic.com/media/f409e7_9c6f1ecba7974917a46344981f6b4fe0~mv2.jpg/v1/fill/w_211,h_211,q_90/f409e7_9c6f1ecba7974917a46344981f6b4fe0~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_9c6f1ecba7974917a46344981f6b4fe0_mv2.jpg/v1/fill/w_211,h_211,q_90/f409e7_9c6f1ecba7974917a46344981f6b4fe0_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:12	20756/20756	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:14%20GMT	https://static.wixstatic.com/media/f409e7_ffcf636a15894ae5a804ef97df430303~mv2.jpg/v1/fill/w_249,h_211,q_90/f409e7_ffcf636a15894ae5a804ef97df430303~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_ffcf636a15894ae5a804ef97df430303_mv2.jpg/v1/fill/w_249,h_211,q_90/f409e7_ffcf636a15894ae5a804ef97df430303_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:12	46365/46365	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:15%20GMT	https://static.wixstatic.com/media/f409e7_3d1f6f42966f41a680b7adffcb846b85~mv2.jpg/v1/fill/w_480,h_360,q_90/f409e7_3d1f6f42966f41a680b7adffcb846b85~mv2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/f409e7_3d1f6f42966f41a680b7adffcb846b85_mv2.jpg/v1/fill/w_480,h_360,q_90/f409e7_3d1f6f42966f41a680b7adffcb846b85_mv2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:13	2215/2215	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Apr%202024%2023:47:15%20GMT	https://static.wixstatic.com/media/9c608a_f4f19e97fa02415b9acf898635b3b825.png/v1/fill/w_49,h_34,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/9c608a_f4f19e97fa02415b9acf898635b3b825.png	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/9c608a_f4f19e97fa02415b9acf898635b3b825.png/v1/fill/w_49,h_34,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/9c608a_f4f19e97fa02415b9acf898635b3b825.png	(from https://muizzkarim10.wixsite.com/my-site)
16:47:14	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/web%201/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:14	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:17%20GMT	https://muizzkarim10.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/sitemap.12.delayed	(from https://muizzkarim10.wixsite.com/my-site)
16:47:15	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:17%20GMT	https://muizzkarim10.wixsite.com/feed.xml	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/feed.13.delayed	(from https://muizzkarim10.wixsite.com/my-site)
16:47:16	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:18%20GMT	https://muizzkarim10.wixsite.com/${n.uri}	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/${n.14.delayed	(from https://muizzkarim10.wixsite.com/my-site)
16:47:16	88400/88400	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c7b120057d9a1ffbacbf7db52c5fcb03%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.1337ed29.bundle.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.1337ed29.bundle.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:17	200414/200414	---M-Z	200	added ('OK')	application/javascript	etag:W/%2230b7bd8faddf98b7ba28c20efd753c90%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.f0ef7e35.bundle.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/services/wix-thunderbolt/dist/main.f0ef7e35.bundle.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:17	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:18	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:18	10737/10737	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d86dcdbfed4c273c4742744941259902%22	https://static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:19	131882/131882	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264141792105ea4861f9f33294d65ab81%22	https://static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:20	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:22%20GMT	https://muizzkarim10.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/decodeURIComponent(e.1b.delayed	(from https://muizzkarim10.wixsite.com/my-site)
16:47:20	7305/7305	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f370ea20b812382ebe915671e3e24%22	https://static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:21	30907/30907	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://muizzkarim10.wixsite.com/my-site)
